"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1762","50","1","26","1","1"
"1764","50","1","26","1","1"
"1766","50","1","1","1","16"
"1768","50","1","14","1","16"
"1770","50","1","12","1","16"
"1772","50","1","12","1","2"
"1774","50","1","1","1","1"
"1776","50","1","1","1","1"
"1778","50","1","1","1","1"
"1780","50","1","1","1","1"
"1782","50","1","1","1","1"
"1784","50","1","1","1","1"
"1786","50","1","1","1","1"
"1788","50","1","1","1","1"
"1790","50","1","1","1","1"
"1792","50","1","1","1","1"
"1794","50","1","1","1","1"
"1796","50","1","1","1","1"
"1798","50","1","1","1","1"
"1800","50","1","1","1","1"
"1802","44","1","1","1","1"
"1804","44","1","1","1","1"
"1806","44","6","1","1","1"
"1808","44","6","1","1","1"
"1810","44","6","1","1","1"
"1812","44","6","1","1","1"
"1814","44","6","1","1","1"
"1816","44","6","1","1","1"
"1818","44","6","1","1","1"
"1820","44","6","1","1","1"
"1822","44","6","1","1","1"
"1824","44","6","4","1","1"
"1826","44","6","4","1","1"
"1828","44","6","4","1","1"
"1830","44","6","4","1","1"
"1832","44","6","4","1","1"
"1834","44","6","4","1","1"
"1836","44","6","4","1","1"
"1838","44","6","4","1","1"
"1840","44","6","4","1","1"
"1842","44","6","4","1","1"
"1844","44","6","4","1","1"
"1846","44","6","4","1","1"
"1848","44","6","4","1","1"
"1850","44","6","4","1","1"
"1852","44","6","4","1","1"
"1854","44","6","4","1","1"
"1856","44","6","4","1","1"
"1858","44","6","4","1","1"
"1860","44","6","4","1","1"
"1862","44","6","4","1","1"
"1864","44","6","4","1","1"
"1866","44","6","4","1","1"
"1868","44","6","4","1","1"
"1870","44","6","4","1","1"
"1872","44","1","1","1","1"
"1874","44","1","1","1","1"
"1876","44","1","1","1","1"
"1878","44","1","1","1","1"
"1880","44","1","1","1","1"
"1882","44","1","1","1","1"
"1884","44","1","1","1","1"
"1886","44","1","1","1","1"
"1888","44","1","1","1","1"
"1890","44","1","1","1","1"
"1892","44","1","1","1","1"
"1894","44","1","1","1","1"
"1896","44","1","1","1","1"
"1898","44","1","1","1","1"
"1900","44","1","1","1","1"
"1902","44","1","1","1","1"
"1904","44","1","1","1","1"
"1906","44","1","1","1","1"
"1908","44","1","1","1","1"
