"Time","0Interest","1Cliche","2Funny","3Dumb","4Wtf"
"1708","82","0","0","0","4"
"1710","82","0","0","0","4"
"1712","82","0","0","0","4"
"1714","82","0","0","0","4"
"1716","82","0","0","0","4"
"1718","82","0","0","0","4"
"1720","82","0","0","0","4"
"1722","82","0","0","0","4"
"1724","82","0","0","0","4"
"1726","82","0","0","0","4"
"1728","82","0","0","0","4"
"1730","82","0","0","0","4"
"1732","82","0","0","0","2"
"1734","82","0","0","0","4"
"1736","82","0","0","0","4"
"1738","82","0","0","0","4"
"1740","82","0","0","0","4"
"1742","82","0","0","0","4"
"1744","82","0","0","0","4"
"1746","82","0","0","0","4"
"1748","82","0","0","0","4"
"1750","82","0","0","0","4"
"1752","82","0","0","0","4"
"1754","82","0","0","0","4"
"1756","82","0","0","0","4"
"1758","82","0","0","0","4"
"1760","82","0","0","0","4"
"1762","82","0","0","0","4"
"1764","82","0","0","0","4"
"1766","82","0","0","0","4"
"1768","82","0","0","0","4"
"1770","82","0","0","0","4"
"1772","82","0","0","0","4"
"1774","82","0","0","0","4"
"1776","82","0","0","0","4"
"1778","82","0","0","0","4"
"1780","82","0","0","0","4"
"1782","82","0","0","0","4"
"1784","82","0","0","0","4"
"1786","82","0","0","0","4"
"1788","82","0","0","0","4"
"1790","82","0","0","0","4"
"1792","82","0","0","0","4"
"1794","82","0","0","0","4"
"1796","82","0","0","0","4"
"1798","82","0","0","0","4"
"1800","72","0","0","0","0"
"1802","70","0","0","0","0"
"1804","70","0","0","0","0"
"1806","64","0","0","0","0"
"1808","64","0","0","0","0"
"1810","64","0","0","0","0"
"1812","64","0","0","8","0"
"1814","64","0","0","8","0"
"1816","64","0","0","8","0"
"1818","64","0","0","0","0"
"1820","64","0","0","0","0"
"1822","64","0","0","0","0"
"1824","64","0","0","0","0"
"1826","64","0","0","0","0"
"1828","64","0","0","0","0"
"1830","64","0","0","0","0"
"1832","64","0","0","0","0"
"1834","64","0","0","0","0"
"1836","64","0","0","0","0"
"1838","64","0","0","0","0"
"1840","64","0","0","0","0"
"1842","64","0","0","0","0"
"1844","64","0","0","0","0"
"1846","64","0","0","0","0"
"1848","64","0","0","0","0"
"1850","64","0","0","0","0"
"1852","64","0","0","0","0"
"1854","64","0","0","0","0"
"1856","64","0","0","0","0"
"1858","64","0","0","0","0"
"1860","64","0","0","0","0"
"1862","64","0","0","0","0"
"1864","64","0","0","0","0"
"1866","64","0","0","0","0"
"1868","64","0","0","0","0"
"1870","64","0","0","0","0"
"1872","64","0","0","0","0"
"1874","64","0","0","0","0"
"1876","64","0","0","0","0"
"1878","64","0","0","0","0"
"1880","64","0","0","0","0"
"1882","64","0","0","0","0"
"1884","64","0","0","0","0"
"1886","64","0","0","0","0"
"1888","64","0","0","0","0"
"1890","64","0","0","0","0"
"1892","64","0","0","0","0"
"1894","64","0","0","0","0"
"1896","64","0","0","0","0"
"1898","64","0","0","0","0"
"1900","64","0","0","0","0"
"1902","64","0","0","0","8"
"1904","64","0","0","0","8"
"1906","64","0","0","0","8"
"1908","64","0","0","0","8"
